Title,City,Company,Type,Date Posted,Experience Needed,Career Level,Education Level,Salary,Description,,,,,,,,,
Senior Testing Automation Engineer,Giza,LxT,Full Time,Posted 28 days ago,3 to 5 years,Experienced (Non-Manager),Not Specified,Confidential,We are currently seeking a Senior Test Automation Engineer at LXT who will be responsible for all development changes occurring (Automation Performance Security & Manual) to mitigate risks as needed and to ensure quality of the deliverables. Responsibilities:Create test scenarios conditions and expected resultsCreate test data and scriptTest execution and tracking defectsTroubleshooting and document all findingsReport and escalate to management as neededWorking with software developers BA’s and project teamsCommunicate findings to technical and non-technical colleaguesWrite and enhance the Automation script code.Execute Automation and share the required reports.Write Performance scripts and enhance them as needed.Execute Performance and share the required reports.,,,,,,,,,
Senior Backend Engineer,Giza,LxT,Full Time,Posted 28 days ago,3 to 5 years,Experienced (Non-Manager),Not Specified,Confidential,We are currently seeking a Senior Software Engineer (Backend) at LXT who will work closely with our engineering operations and product teams to build the most secure cutting edge data annotation tools and platforms.LXT technical calibers are expected to have a high level of ownership and to be Hands-On engineers who take over the tasks until they pass the finish line.Responsibilities:Design develop and test new products while maintaining the existingStay up to date with the latest industry trends in software and cloud solutions.Ensure high code and design quality that fulfills business requirements and good design aspects (scalability fault tolerance).Coach mentor and support junior team members by supporting the culture of technical excellence and zero technical debt Supporting technical estimations and effort sizing.Establishing code guidelines and reviewing PRs.Adopting unit testing and integration testing in the system.Design and implement solutions to protect against common security vulnerabilitiesDirectly involved with the Product team to understand Requirements.Provide technical feedback about the supervised team members when required.Help the team to adopt modern software engineering practices like Scrum and be an active player in the Agile ceremonies.,,,,,,,,,
Senior IT Specialist,Cairo,Deutschland Technology Limited,Full Time,Posted 28 days ago,7 to 10 years,Experienced (Non-Manager),Not Specified,10000 to 14000 EGP Per Month,Design develop implement and coordinate systems policies and procedures.Ensure security of data network access and backup systems. Install and configure hardware software component network requirements printers phones firewalls virus protection and email security.Maintain essential IT operations including operating systems security tools applications servers email systems laptops desktops software and hardware.Troubleshoot hardware and software issues.Handle business-critical IT tasks and system improvements.Research and evaluate emerging technologies hardware and software as well as performance troubleshooting.Serve as the subject matter expert supporting MAC OSX Windows and all common office software and applications such as Microsoft and Adobe.Analyze staff needs identify vulnerabilities boost efficiency and accuracy.Monitor servers LAN/WAN and Wi-Fi to ensure full coverage. Provide helpdesk and technical support either by phone remote access or site visits. Oversee troubleshooting for system errors. Set up equipment for new users and employees. Consult with vendors and clients to integrate and update company technology. Ensure system optimization for all technology resources. Proficient with MAC and OS.Supporting the day-to-day operations of our computer network.,,,,,,,,,
Senior Android Developer,Cairo,Expert Apps,Full Time,Posted 28 days ago,More than 5 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,Strong knowledge of Android UI design principles patterns and best practices.Familiarity with RESTful APIs to connect Android applications to back-end services.Ability to understand business requirements and translate them into technical requirements.Understanding of Android design principles and interface guidelines.Proficient understanding of code versioning tools such as Git.Experience collaborating with senior back-end developers in an agile environment.Ability to lead juniors and manage their tasks,,,,,,,,,
Software Architect,Assiut,Spatium Software,Full Time,Posted 28 days ago,10 to 15 years,Experienced (Non-Manager),Not Specified,Confidential,Collaborate with other professionals to determine functional and non-functional requirements for new software or applicationsUse tools and methodologies to create representations for functions and user interface of desired productDevelop high-level product specifications with attention to system integration and feasibilityDefine all aspects of development from appropriate technology and workflow to coding standardsCommunicate successfully all concepts and guidelines to development teamOversee progress of development team to ensure consistency with initial designProvide technical guidance and coaching to developers and engineersEnsure software meets all requirements of quality security modifiability extensibility etc.Approve final product before launch,,,,,,,,,
System Administrator,Giza,Safa International Travel,Full Time,Posted 28 days ago,5 to 7 years,Experienced (Non-Manager),Bachelor's Degree,Male,Confidential Social Insurance,,,,,,,,,
UI/UX Figma designer,Assiut,Spatium Software,Full Time,Posted 28 days ago,3 to 10 years,Experienced (Non-Manager),Not Specified,Confidential,ResponsibilitiesGather and evaluate user requirements in collaboration with product managers and engineersIllustrate design ideas using process flows and sitemapsInformation architecturePersonasJourney mapsUser flowsInteraction designsWireframesDesign systemsIdentify and troubleshoot user experience issues such as responsivenessMake layout adjustments based on user feedbackHand designs out to developers using tools like Zeplin,,,,,,,,,
Devops Engineer,Assiut,Spatium Software,Full Time,Posted 28 days ago,3 to 10 years,Experienced (Non-Manager),Not Specified,Confidential,ResponsibilitiesEstablishing and upkeeping CI/CD workflows for streamlined software building testing and deployment. This encompasses managing build servers version control and tools for release management.Creating and supervising infrastructure assets using IaC tools like Terraform or CloudFormation and utilizing configuration management utilities such as Ansible or Puppet.Automating the initiation and setup of servers networking and data storage.Setting up systems to monitor the performance uptime and security of systems and software.Configuring alerts to warn of potential system or application challenges.Evaluating monitoring information to spot patterns identify performance issues and pinpoint optimization areas.Utilizing cloud services like AWS or Azure for designing launching and overseeing robust scalable systems.Gaining knowledge about cloud services enhancing resource efficiency and assuring cost-effective operations.Enforcing security guidelines and adhering to pertinent compliance measures such as GDPR or PCI DSS.Overseeing encryption access rights vulnerability assessments and responses to security breaches.Administering and automating the setup of software and infrastructure elements.Employing utilities like Puppet or Chef to ensure uniform environments from development to production.Crafting documentation that includes diagrams charts and layouts. Company cultureWork location: Assuit .Work Type: Full-time from the office.Employment duration: Long term.Working hours: From 9:30 am to 6 pm. Includes an hour lunch break.Health insurance.Social Insurance.,,,,,,,,,
Software Tester,Assiut,Spatium Software,Full Time,Posted 28 days ago,4 to 10 years,Experienced (Non-Manager),Not Specified,Confidential,ResponsibilitiesReview and analyze system specifications.Collaborate with QA engineers to develop effective testing strategies and plans.Prepare test scenarios.Execute test cases (manual or automated) and analyze results.Evaluate product code according to specifications.Create records to document test phases and defects.Report bugs and errors to development teams.Help troubleshoot problems.Perform post-release/post-implementation testing.Work with cross-functional teams to ensure quality throughout the software development life cycle.,,,,,,,,,
Senior Technical Office Engineer,Giza,Alkarma Developments,Full Time,Posted 28 days ago,5 to 7 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,Study and review preliminary designs working drawings specifications and cost estimates related to the project. Prepare and issue necessary shop drawings for all allocated tasks.Prepare time schedule for executed work versus planned.Preparation of follow-up report and its conformity with the time schedule.Check technical details and drawings to ensure correct implementation in the field. Prepare daily / weekly/ monthly site reports. Prepare work requisition for all required permanent materials and prepare material submittals and follow-up on the approval process. Review products analyze materials and determine appropriateness for application to projects. Responsible for communicating with contractors & suppliers. Responsible for preparing invoices check sub-contractor invoices deal with the main consultant. Cost break down for project items. Ensure that the site is supplied with all documentation and materials needed to carry out the work.Ensure that the work is performed at the required quality standards. Perform inspection and prepare documents for entire contract work projects.Carry out any other duties as and when required in order to meet the needs of the business.,,,,,,,,,
IT Technical Support,Sharqia,MCV,Full Time,Posted 28 days ago,1 to 3 years,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Maintain helpdesk support and resolve problems to the end user’s satisfaction.▪       Check and respond quickly and effectively to requests received through the IT helpdesk.▪       Check service desk for tickets assigned to the queue and process first-in first-out based on priority.▪       Check configurations utilities software default settings etc. for the local workstation.▪       Ensure each workstation has a computer monitor keyboard mouse hard drive and any additional specialized equipment.▪       Install test and configure new workstations peripheral equipment and software.▪       Review inventory of all equipment software and software licenses.▪       Follow up issues for escalation and check as appropriate.▪       Coordinate PC setup and deployment for new employees using standard hardware images and software.▪       Assign users and computers to proper groups in active directory.▪       Carry out timely workstation hardware and software upgrades as required.▪       Perform other job-related duties as assigned.,,,,,,,,,
Infrastructure Services Manager,Cairo,Eg Insurtech,Full Time,Posted 28 days ago,8 to 10 years,Manager,Bachelor's Degree,Confidential,Key Accountabilities:Provide leadership and guidance to support on-prem and cloud hybrid infrastructure.Provide guidance/direction to team for critical/complex Infra issuesProvide technical and professional development.Manage infrastructure solutions and services across OrganizationConsult/implement and maintain On-Prem DC/DR Public/ private Cloud InfrastructureManage all aspects of system design configuration and efficient use of Network devices  Microsoft O365 and Azure environment.Oversee implementations and ensure service requests and incidents are being fulfilled and resolved in a timely manner according to the established SLAs.Drive major incidents root cause analysis change impact analysis & implementationMeasure and fine tune monitoring metrics for both on-prem & cloud infrastructure to ensure optimal performance and high availability.Ability to handle multiple strategic & critical projects/deliveries simultaneously.Effective interpersonal coaching team building and communication skills.Ability to run/coordinate meetings major incident calls and communicate with customers.Meet with stakeholders to plan quarterly work cycles including resource capacity planning create timelines manage dependencies and address risksFlexible to support 24*7 support environment.,,,,,,,,,
Human Resource manager,Cairo,Furqan Group for Educati...,Full Time,Posted 28 days ago,More than 2 years,Manager,Bachelor's Degree,Confidential,The Human Resource Manager will lead and direct the routine functions of the Human Resources (HR) department including hiring and interviewing staff administering pay benefits and leave and enforcing company policies and practices. The HR department helps ensure that an organization runs smoothlyDevelopment of an employee-oriented company culture that emphasizes quality continues improvement key employee retention& development. Developing HR planning strategies which consider immediate and long-term staff requirements Responsible for Recruitment policies and Manage the staffing process including recruiting interviewing hiring and onboarding and job specifications up to date Maintain and enhance employee benefits programs including compensation health insurance expenses vacation and other personnel packages ​to ensure the organization attracts and retains top talent.Manage pay review process Reviews payroll data such as working hours KPIs and other deductions to be withheld.Responsible for develop and oversee long-term training programs and analyze employee performance and provide the managers with a feedback and guidance reportManage and improve communication skills between all the staff and facilitate the employee-employer relationshipWorking closely with various departments increasingly in a consultancy role assisting line managers to understand and implement policies Explaining human resources policies procedures laws and standards to new and existing employees.Coordinating the process of annual evaluation for the performance of employees ; ensure the completion of the mobilization of all the evaluation reports are sent in a timely mannerReport to management and provide decision support through HR metrics (e.g. turnover rates and cost-per-hire)Design and implement company policies that promote a healthy work environmentOversees employee disciplinary meetings terminations and investigations.Ensure HR staff addresses employees’ requests and grievances in a timely mannerMaintain HR procedures that comply with labor regulations,,,,,,,,,
B2B Sales Specialist,Cairo,Injaz Tech for advanced systems,Full Time,Posted 28 days ago,3 to 4 years,Experienced (Non-Manager),Bachelor's Degree,Confidential Commissions,Day to day normal sales funnel (target calls-visits).Meet with potential clients and grow long-lasting relationships that address their needsPreparing periodic reports about the account performance updates& relationship.Developing new sales opportunities.Preparing reports on the status of accounts.Tracking account targets.Developing positive relationships and handling customers' needsGenerating new sales using existing and potential customer networks. Resolve conflicts and provide solutions to customers in a timely manner.Report on the status of accounts and transactions weekly-monthly-quarterly.Monitor sales metrics (e.g. quarterly sales results and annual forecasts)Suggest actions to improve sales performance and identify opportunities for growth Have experience in dealing with it or technical sales questions and details is highly preffered.,,,,,,,,,
Senior Odoo Developer,Cairo,Crevisoft Corporation,Full Time,Posted 28 days ago,3 to 5 years,Experienced (Non-Manager),Not Specified,Confidential,• Development and testing of Odoo modules• Keeping different projects/versions under control using Git.• Consistently create quality software that meets specific design and requirements on stated timelines.• Integrate Odoo with other web applications.• Enhance applications develop and configure features and functionalities that support business requirements.,,,,,,,,,
DevOps Engineer,Cairo,Sulfah,Full Time,Posted 28 days ago,2 to 4 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,Manage/administrate Cloud Servers.Support and maintain version control activities.Implement CI/CD methodology using Pipelines and Gitlab.Design maintain and enhance build and deploy automation scripts using different tools and techniques for different SDLCs.Build/package different products components including websites windows services web services backend and mobile applications.Manage baselines/tags and ensure/apply source control policies.Enhance SDLC processes and procedures.Generating security code scan reports.Manage products release cycle and deployment on different environments (Testing penetration testing integration activities etc.).Troubleshoot application configuration issues in testing staging UAT environments.Build reports and dashboards,,,,,,,,,
ERP Functional Support (Microsoft Dynamics - Business Central 365),Cairo,Egypt Bakery Stores,Full Time,Posted 28 days ago,3 to 6 years,Experienced (Non-Manager),Bachelor's Degree,Males preferred,Confidential,,,,,,,,,
Senior .Net Developer,Giza,Sarmady,Full Time,Posted 28 days ago,3 to 6 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,Main Purpose:   Create the internal hierarchy and backbone for applications and manage user interaction  Responsibilities:  Receive client detailed requirements and set the proper tools for the application architecture. Develop applications based on clients’ requirements. Perform essential testing for the developed applications. Provide all necessary maintenance to support the applications.,,,,,,,,,
UX Designer,Giza,Sarmady,Full Time,Posted 28 days ago,2 to 5 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,Main Purpose:As a UX Designer you will work closely with the UX team. You will be responsible for creating the user experience and designing new web / mobile app designs for several projects across multiple platforms.Responsibilities:Coordinate with your managers to set the project plan and time estimates for each task to ensure compliance with the preset deadlines.Create usable engaging interactions and visual designs for web/mobile.Receive feedback for different deliverables and update them with the necessary changes and amendments.Participate in the development process from definition through design build test release and maintenance.Stay abreast of UX trends and look for creative ideas and inspiration.Research and track advancements in web/mobile application design patterns.Staying in the loop and on top of the latest standards changes and trends in the web/mobile design field.Update and enhance existing web/apps with new features to meet the requirements and to enhance the user experience.Handle design issues and daily tasks issued on the ticketing system.Coordinate with the development team to finalize the projects within the set time frame.,,,,,,,,,
Senior Application Support Engineer,Giza,Fawry for Banking Technology and Electronics Payments S.A.E,Full Time,Posted 28 days ago,3 to 5 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,Senior Application Support Engineer performs a variety of implementation deployments and troubleshooting requiring a wide knowledge of; company products database engines operating systems.Responsibilities:The senior Application Support Engineer as part of the team will be responsible for:Company application administration; Deploy configure integrate and test the implemented solution based on Technical and Business requirements.Company application troubleshooting and support during UAT and production.Execution of DB scripts/extracts as needed.React to High Severity issues technical situation that requires immediate attention.Work with multiple teams for the successful resolution of issues and incidents.Open to flexible working conditions including after-hours scheduled application maintenance and support.Work on-premises and/or Banks.,,,,,,,,,
Software Sales,Cairo,Crevisoft Corporation,Full Time,Posted 28 days ago,2 to 4 years,Experienced (Non-Manager),Not Specified,Confidential,Searching for new opportunities and generating leads through outbound calls and emailsPrepare a target list for contacting by phone using LinkedIn directories contacts and other sources of information using sales methodology.Reach out to customer leads through cold calling or emails. Preparing questions and answering inquiries.Negotiating and closing business deals.Generating and following up on leads through the qualification process.Prepare the end–to–end sales process to deliver against a range of performance metrics.Create and progress a sales pipeline to meet sales objectives. Follow defined quality and sales procedures while running sales activities. Building and maintaining CRM database.Generate and execute sales plans and strategies to close new opportunities. Set short- and long-term sales strategies and evaluate the effectiveness of current sales programs.Identify cost-effective and practical alternatives for the channel by bundling products/service “solutions” to maximize our opportunity while meeting customer’s needs.Provide accurate sales forecasts and opportunities status on a weekly monthly and quarterly basis.Building and maintaining strong long-lasting customer relationships.Overseeing customer account management including negotiating contracts and agreements to maximize profits.Achieve agreed upon sales targets and outcomes within schedule.,,,,,,,,,
Presales Engineer.,Cairo,Target Integrated Systems,Full Time,Posted 29 days ago,0 to 2 years,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Confidential,Job Summary:Responsible for handling Pre-sales activities for potential upcoming projects including providing designs and/or recommended solutions fulfilling all technical support needs to sales and technical team. Along with suggested pricing based on the price list of the suppliers and expected competition.Tasks And Responsibilities:Analyze and understand customer's technical requirements.Prepare high-quality and compelling technical & Financial proposals that address customer requirements and aligned with customer business goals and objectives.Response to all RFIs RFQs & RFPsExperience in Complete Data Center Design using Different Vendors like ( Microsoft VMware Veeam Symantec Veritas Commvault HPE)Act as a consultant in educating the client about different solution possibilities and give recommendations.Engage with sales account managers and other internal teams to be able to deliver complete high-quality final deliverables.Discuss and demonstrate solution business benefits and values to customers/prospects.Investigate new technologies and stay on top of technology and arising new technology trends.Perform presentations to demonstrate different technologies and proposed solutionsSolution:Develop technical Pre-sales solutions.Get involved in the requirements gathering process after we land the customer.Successfully match customer requirements to proposed solutions.Design highly technical solutions for the entire integrated solution components.Prepare technical submittals for the coming projects and ensure technical compliance with tender requirement.Review the technical components of the proposal before submission to the sales team for final compilation.Prepare technical write-up and associated drawings that describe the solution and highlight the advantages of the proposed solution.Study the available solutions of the competitors to be able to provide the optimum solution emphasizing our strong points.Knowledge And Sales Support:Maintain full up to date technical awareness of the services.Providing technical explanation/support for sales solutions as per request.The Pre-Sales Engineer will work closely with other internal teams exchanging technical and market expertise customer feedback and competitive information.Investigating new technologies and staying on top of technology to innovate new products and services.Maintaining close relationships with vendor and logistics team to ensure the smooth running of the operation.Act as a consultant/advisor for the sales person project manager and client in the complex technical issues and conducts presentations when required.Opportunities:Assist Account Manager for developing new business opportunities.Pursue and participate in opportunities in both the public and private sectors.Pricing Products:Processing with customer’s requests for pricing.Identify the potential supplier(s) list for the provided solution(s).,,,,,,,,,
Call Center Manager,Cairo,Noases,Full Time,Posted 29 days ago,2 to 3 years,Manager,Not Specified,8000 to 12000 EGP Per Month,● Develop objectives for the call center’s day-to-day activities● Conduct effective resource planning to maximize the productivity of resources (people technology etc.)● Collect and analyze call-center statistics (sales rates costs customer service metrics etc.)● Assume responsibility for budgeting and tracking expenses● Hire coach and provide training to personnel to maintain high customer service standards● Monitor and improve ordering telephone handling and other procedures● Evaluate performance with key metrics (accuracy call-waiting time etc.)● Prepare reports for different departments or upper management,,,,,,,,,
Senior Native Android App Developer,Alexandria,Enegix,Full Time,Posted 29 days ago,4 to 6 years,Experienced (Non-Manager),Bachelor's Degree,Male,Confidential,,,,,,,,,
Software Tester,Giza,Bevatel,Full Time,Posted 29 days ago,1 to 3 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,Analyze report and document technical issues.Provide accurate estimations of the deliverable and fulfill them (time estimation and story sizing).Document and maintain software functionality.Conduct post-release/ post implementation testing.Perform Functional and non-functional testing.Provide technical expertise and guidance in the design development implementation and maintenance of test processes.Help troubleshoot issues.,,,,,,,,,
Cyber Security Architect,Cairo,Alstom,Full Time,Posted 29 days ago,More than 4 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,You’ll be responsible of Alstom solution security analysis and of the definition of its security requirements and architecture.You’ll specifically take care of delivering Turnkey project making sure it aligns with contractual requirements and customer expectations. We’ll look to you to:Responsible for cybersecurity architecture at system and sub-system levelCybersecurity Design ReviewsEnsure cybersecurity control implementation in designProvide requested deliverable in time with adequate qualityAlignment with Alstom cybersecurity strategy and policiesUnderstand the solution to be delivered and to be securedExecute on the risk analysis and identify/ propose the he countermeasures to be put in placeDesign and document reliable security architecture resilient against cyberthreats (CADRA)Ensure update and upgrade delivered solution cybersecurity as neededGuarantee the cybersecurity technical coverage vis-à-vis the contractLead and Contribute to activities such as:  Cybersecurity risks assessmentCybersecurity requirement implementationCybersecurity evaluation of the developed solution(s)Provide technical guidance and supervision for the project teamParticipate to Project Design ReviewsSupport engineering team answer design and technical difficulties related to cybersecurity implementationbe referent for management and third parties on cybersecurity architecture and technical implementation.Ensure homogeneous cybersecurity implementation conform to Governance & Expertise policies.,,,,,,,,,
Automation Testing (Verification & Validation) Engineer,Cairo,Alstom,Full Time,Posted 29 days ago,More than 1 year,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Confidential,Your future roleTake on a new challenge and apply your Automation Testing expertise in a new cutting-edge field. You’ll work alongside passionate motivated and dedicated teammates.You’ll interface with system program and quality teams to meet commitments for quality cost and delivery.You’ll specifically take care of delivering Turnkey project making sure it aligns with contractual requirements and customer expectations. We’ll look to you to:Work as V&V Engineer and collaborate with multisite stakeholdersDevelop & Execute verification and validation procedures manual and automated tests for safety critical software.Produce verification and validation results report and associated Change Requests (defects)Ensure fulfilment of requirements for component under testsIntegrate components from various development team perform integration and prepare validation platformUse automation scripts batch files to automate the integration and validation tasksContribute to continuous improvement (Return of Experience process improvements etc.),,,,,,,,,
E-commerce Specialist - Magento 2,Cairo,acwme,Full Time,Posted 29 days ago,2 to 20 years,Experienced (Non-Manager),Bachelor's Degree,Confidential We offer Employee Stock Options (ESOs) which grant actual ownership of options over a fixed period known as the “vesting period.” Please read more about it.,Attention: Applicants who fail to respond to the screening questions will not be considered. Please make sure to answer all screening questions to be eligible for consideration.  About Us:We are a multi-seller marketplace (startup) that generates sales and has growth potential. We offer a wide range of products and services and are dedicated to providing our customers with a diverse and convenient online shopping experience. We are searching for a talented E-commerce Specialist to join our team and contribute to the growth and success of our marketplace. Job Overview:As an E-commerce Specialist you will play a crucial role in optimizing the online marketplace managing product listings and implementing effective digital marketing strategies. You will be responsible for enhancing the customer shopping journey increasing conversion rates and ensuring the overall success of our e-commerce operations. Responsibilities and Duties:Product/ Seller Management:1. Onboard and manage relationships with sellers ensuring they adhere to marketplace guidelines and standards.2. Support sellers with product listings pricing strategies and optimizing their online presence.2. Create and maintain product listings ensuring accuracy completeness and appealing product descriptions.3. Monitor inventory levels and coordinate with relevant teams to ensure product availability. Marketplace Optimization:1. Continuously assess the performance of the marketplace identify areas for improvement and implement enhancements.2. Collaborate with the technical team to enhance platform functionality and user experience for sellers and buyers.3. Continuously analyze website performance user behavior and conversion rates to identify areas for improvement.4. Implement SEO best practices to improve search engine rankings and drive organic traffic. Digital Marketing and Promotion:1. Develop and execute digital marketing campaigns and promotions to attract sellers and increase product visibility.2. Monitor and optimize advertising budgets to attract a diverse range of sellers to the platform. Customer Experience:1. Focus on improving the overall customer experience on the marketplace including user interface navigation and checkout process.2. Address seller and buyer inquiries and resolve issues related to online transactions. Analytics and Reporting:1. Generate regular reports on marketplace performance metrics and provide insights to inform strategic decisions.2. Utilize analytics tools to track the success of marketing campaigns and adjust strategies accordingly. Collaboration:1. Work closely with cross-functional teams including marketing sales and IT to align multi-seller marketplace initiatives with broader business objectives.2. Collaborate with seller support teams to ensure a smooth and efficient marketplace operation. Compensation:We offer a competitive salary performance-based bonuses stock options (Not for all but this may be provided to highly qualified individuals who add value with sincerity and dedication) and a comprehensive benefits package. Benefits:Our team also enjoys flexible working hours opportunities for professional growth and a dynamic work environment where you can play a key role in shaping the future. Work Methodology (Remotely)/ Working Hours:Our work methodology is currently remote and official with 8-hour work days for six days a week starting at 8 a.m. and ending at 5 p.m. according to the Egypt time zone. We use the Hubstaff platform to perform and follow up on work allowing you to adjust your working hours according to your work needs and personal preferences in coordination with your manager.Soon we will have our office in Cairo which will be fully equipped prepared and commercially registered with the government. This will allow employees to receive health insurance annual vacation and social insurance benefits. Reporting Structure:He will report to the Marketplace Manager providing strategic technical guidance to drive the company's success in the dynamic e-commerce landscape.,,,,,,,,,
Magento Developer,Cairo,acwme,Full Time,Posted 29 days ago,2 to 20 years,Experienced (Non-Manager),Bachelor's Degree,Confidential We offer Employee Stock Options (ESOs) which grant actual ownership of options over a fixed period known as the “vesting period.” Please read more about it.,Attention: Applicants who fail to respond to the screening questions will not be considered. Please make sure to answer all screening questions to be eligible for consideration.  About Us:We are a multi-seller marketplace (startup) that generates sales and has growth potential. We offer a wide range of products and services and are dedicated to providing our customers with a diverse and convenient online shopping experience. We are searching for a talented E-commerce Specialist to join our team and contribute to the growth and success of our marketplace.Job Overview:He will serve as the cornerstone of our technical team responsible for driving the development and enhancement of our online marketplace. The primary objective is to ensure our online marketplace's stability scalability and performance while aligning technology initiatives with business goals. This role demands a unique blend of technical prowess leadership acumen and a deep understanding of e-commerce entrepreneurship and customer-centric principles. Responsibilities and Duties:Technical Expertise:1. Lead and independently execute technical tasks encompassing frontend backend and AWS DevOps.2. Make informed technical decisions architect solutions and implement customizations.3. Maintain a strong grasp of Magento 2 best practices and possess relevant certifications.E-commerce and Entrepreneurial Experience:1. Leverage prior experience in entrepreneurship and e-commerce to drive business growth.2. Understand and navigate the entire online selling lifecycle from product listing to customer acquisition and retention.User-Centric Approach:1. Champion a user-centric mindset by actively contributing to the customer experience and user interface design.2. Collaborate with business analysts to align technology solutions with customer needs.Team and Project Management:1. Apply team management and project management skills to lead technical teams effectively.2. Utilize project management tools and methodologies to achieve project objectives. Compensation:We offer a competitive salary performance-based bonuses stock options and a comprehensive benefits package. Benefits:Our team also enjoys flexible working hours opportunities for professional growth and a dynamic work environment where you can play a crucial role in shaping the future.Work Methodology (Remotely)/ Working Hours:Our work methodology is currently remote and official with 8-hour work days for six days a week starting at 8 a.m. and ending at 5 p.m. according to the Egypt time zone. We use the Hubstaff platform to perform and follow up on work allowing you to adjust your working hours according to your work needs and personal preferences in coordination with your manager.Soon we will have our office in Cairo which will be fully equipped prepared and commercially registered with the government. This will allow employees to receive health insurance annual vacation and social insurance benefits.Reporting Structure:He will report to the CTO providing strategic technical guidance to drive the company's success in the dynamic e-commerce landscape.,,,,,,,,,
Junior React Native Mobile Developer,Alexandria,RUSHBRUSH INC,Full Time,Posted 29 days ago,1 to 3 years,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,RUSHBRUSH INC. is expanding among its Software Development department and is seeking to hire enthusiastic and passionate Junior React Native Mobile Developer.Key Accountabilities:Responsible for developing high-quality mobile applications for both iOS and Android platforms.Duties:Build high-quality mobile applications for iOS and Android platforms using React Native.Design build and maintain efficient reusable and reliable code.Identify and troubleshoot bugs and performance issues.Stay up-to-date with the latest mobile app development trends and technologies.Collaborate with our team of designers developers and project managers to deliver unique user-friendly and innovative products.,,,,,,,,,
System Implementation Engineer,Giza,Fawry for Banking Technology and Electronics Payments S.A.E,Full Time,Posted 29 days ago,2 to 4 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,Assist external clients in the implementation of technical systems.Evaluate client needs develop configurations that support business processes.Define and execute the delivery and implementation plans.Tests and troubleshoots final system setups.Provide training and end-user support during and after the implementation process.May be involved in pre-sales product demonstrations.Work on projects/matters of limited complexity in a support role.,,,,,,,,,
.NET Developer / React,Cairo,Procoor,Full Time,Posted 29 days ago,1 to 2 years,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Confidential,Under the supervision of the Technical Team Leader the junior .NET Developer is required to design modify develop write and implement software programming applications and components. Job Duties:Developing and maintaining high-quality software products while supporting the strategic vision of the corporation.Participating with other team members to design a user-friendly interface.Keen for Applying best practices to ensure high performance and high quality.Ability to multi-task organize and prioritize workReceive requests for new modules and modifications to existing tasks from Team LeaderParticipate in conducting analysis reports about user requirements new task requirements and the impact of new tasks on the internal workflowDesign stable and reliable DB databases according to Business needs.Collaborating with other team members and assisting with code reviews.Complete projects/tasks timely according to commitments made to stakeholders and management.,,,,,,,,,
Network & Security Engineer / Administrator,Cairo,Global Academic Foundation Hosting University of Hertfordshire UH,Full Time,Posted 29 days ago,3 to 5 years,Experienced (Non-Manager),Not Specified,Confidential Transportation  Axa Medical insurance,1- GENERAL RESPONSIBILITIES:The Network Officer will proactively identify changes required to ICT network telecommunications and network security systems and ensure that the activity is carried out and carry out installation integration testing and maintenance of ICT network telecommunications and network security systems ensuring all quality.2- DUTIES:• Data Network- Support and maintain all campus-wide network connectivity.- Support inter-building Communications.- Support Datacenter core network.- Support and maintain all in/outdoor surveillance cameras & their connectivity.- Support and maintain access control and parking systems. • Voice Network- Support VOIP telephony access ensuring proper QoS.- Support video conferences between Global University and UH. • Network Monitoring- Monitor the network behavior and report for any abnormal patterns- Discover and pinpoint any bottleneck or broken connectivity.- Advise the CTO with any upgrade required Internal or External.,,,,,,,,,
IT Help Desk Officer,Cairo,Global Academic Foundation Hosting University of Hertfordshire UH,Full Time,Posted 29 days ago,4 to 5 years,Experienced (Non-Manager),Not Specified,Confidential,- GENERAL RESPONSIBILITIES:The help desk technician will provide fast and useful technical assistance on computer systems. You will answer queries on basic technical issues and offer advice to solve them. An excellent Help desk technician must have good technical knowledge and be able to communicate effectively to understand the problem and explain its solution. You must also be customer-oriented and patient to deal with difficult customers. The goal is to create value for clients that will help preserve the Organization’s reputation and business.- DUTIES:· Dispatch and register incoming calls on the Help Desk system.· First interfacing between the users (Administrator Faculty Staff Student) and the IT.· Direct all requests/calls to the appropriate IT person(s).· Track the incidents and ensure their closure and customer satisfaction.· Voice and telephony support.· Responsible to fulfill and install all software required for the staff & Labs.· Support and prepare the required software for the labs according to the courses.· Support Faculty and students while using the lab.· Demonstrate new technology tools for users.,,,,,,,,,
